comentario,Sentimiento,Confianza,Categoria
Tardan mucho en pasar y cuando pasan ya vienen llenos ,Negativo,0.9995916485786438,Neutral
No use autobús ,Negativo,0.9995230436325073,Neutral
No me gusta que se tarda en pasar,Negativo,0.999840259552002,Neutral
El camion llega siempre tarde,Negativo,0.9997686743736267,Tiempo
"No me gusta que en los nuevos camiones las sillas estén pegadas a las paredes, siento que era mejor cuando estaban en dos columnas.",Negativo,0.9996269941329956,Neutral
El autobús se tarda mucho y las condiciones de los camiones son pésimas ,Negativo,0.9996899366378784,Neutral
Bien,Positivo,0.9996585845947266,Neutral
"Tarda mucho en pasar la ruta 48 esta uno en la parada del camión entre 20 y 30 mnts en espera, y el transcurso es lento ya que hace demasiadas paradas.",Negativo,0.9976372718811035,Tiempo
"Muy mala, por lo regular siempre está llenísimo o no se detienen ",Neutro,0.8937567472457886,Neutral
Neutral ,Neutro,0.9941381216049194,Neutral
Mala,Negativo,0.9994242191314697,Neutral
Fue buena ,Positivo,0.9998613595962524,Neutral
5 de 10,Neutro,0.9963145852088928,Neutral
No me gusta que los choferes suban tanta gente cuando ya no caben más ,Negativo,0.9994981288909912,Chofer
Horrible,Negativo,0.9995473027229309,Neutral
no me gusta que tardan mil horas en responder pasar y que aveces aun que va vacio no se para ,Negativo,0.9997971653938293,Neutral
Todo bien,Positivo,0.9998935461044312,Neutral
Tardan mucho,Negativo,0.9996507167816162,Neutral
El espacio es pequeño,Negativo,0.9993301630020142,Comodidad
Me gusta el servicio ,Positivo,0.999804675579071,Neutral
No me gusto la espera y lo que me gustó fue que me dormí ,Neutro,0.9968051910400391,Tiempo
Nunca pasa puntual,Negativo,0.9976092576980591,Tiempo
Si me gusto,Positivo,0.9998478889465332,Neutral
Que se tarda en pasar ,Negativo,0.9998102784156799,Neutral
Fue buena,Positivo,0.9998950958251953,Neutral
Es constante su pasó ,Positivo,0.9998501539230347,Neutral
Es barato ,Positivo,0.9995877146720886,Neutral
Es rápida la ruta ,Positivo,0.9995507597923279,Neutral
Mi opinión es que se tardan demasiado haciéndole creer al usuario que brindan un buen servicio cuando no lo es,Negativo,0.9995505213737488,Neutral
Pesima super lleno e iba muy rápido ,Negativo,0.9992389678955078,Comodidad
Demasiada gente,Negativo,0.9996376037597656,Neutral
Me gustó que ya hay más flujo de rutas,Positivo,0.9997490048408508,Neutral
Los espacios son muy reducidos y el camión tarda mucho en pasar,Negativo,0.9997614026069641,Neutral
"Lo que no me gusta es que ya no acepten efectivo si no pura tarjeta, seria bueno que aceptaran ambas maneras",Negativo,0.9998326301574707,Neutral
Todo muy bien solo los asientos suelen ser incómodos sobre todo cuando pasas por baches ,Neutro,0.9996258020401001,Neutral
Que se tarda un montón en pasar ,Negativo,0.9997413754463196,Neutral
Lo tardado lo lleno que va ,Negativo,0.9998039603233337,"Tiempo, Comodidad"
El tiempo de espera es muy largo. ,Negativo,0.9971036314964294,Tiempo
Algo bien ,Positivo,0.9986677169799805,Neutral
Regular tenía bastante gente ,Neutro,0.9952483773231506,Neutral
No es muy cómoda en algunos horarios ,Negativo,0.9961532950401306,Neutral
Hay muy pocas unidades y tardan un tiempo exagerado en pasar ,Negativo,0.999634861946106,Tiempo
"No tomé el bus, vivo en otro pais ",Negativo,0.9511237144470215,Neutral
Fue agobiante ,Negativo,0.9958739876747131,Neutral
Horrible,Negativo,0.9995473027229309,Neutral
Bien,Positivo,0.9996585845947266,Neutral
Normal,Neutro,0.9950630068778992,Neutral
Mucha gente ,Neutro,0.7851932644844055,Neutral
Buena ,Positivo,0.9997941851615906,Neutral
Hay buenos culos y buenas carnes,Positivo,0.9993438124656677,Neutral
El chofer iba de mala gana,Negativo,0.9997350573539734,Chofer
No me gusta que tarda mucho para pasar y me gusta que es practico en costo ,Neutro,0.9964728951454163,Neutral
Buena,Positivo,0.9998786449432373,Neutral
No esperé mucho. El conductor iba con una actitud grosera.,Neutro,0.9981464147567749,Chofer
Me gusta mucho ,Positivo,0.9982545971870422,Neutral
No me gustó que los choferes son muy bruscos al conducir,Negativo,0.9998089671134949,Chofer
La tardanza ,Negativo,0.9984951019287109,Tiempo
No me gusta que tardan mucho en pasar ,Negativo,0.9989626407623291,Neutral
Suele pasar muy seguido ,Positivo,0.9998880624771118,Neutral
Esta sucio y se tarda,Negativo,0.9998090863227844,Estado
culera,Negativo,0.9994935989379883,Neutral
"Me gusta pasear en camión porque vas escuchando música y lo que no, esque cuando son las 6 de la tarde salen todo los trabajadores oliendo a puro pasuco y luego más de adrene abren el brazo para que los pelos del sobaco nos hagan cosquillas, yo opino que ahí que hacer un sindicato para que apartir de las 6 ya no se suban los trabajadores, porque apestan todo el camión ",Neutro,0.9994514584541321,Tiempo
"Normal, me gustó ",Positivo,0.9903864860534668,Neutral
"No me gusta que hablen mucho, me gusta cuando ponen música ",Neutro,0.9946545362472534,Neutral
"Lo que me gusto es que puede llevarte a los destinos sin pagar tanto a comparacipn de un taxi o las aplicaciones de viajes como didi y uber. Lo que no me gusta esque los asientos pueden ser incomodos y la falta de ingiene, y tarda mucho tiempo en llegar a el destino.",Neutro,0.9989559650421143,Tiempo
Mucha gente ,Neutro,0.7851932644844055,Neutral
"muy buena en su mayoria sin embargo algo que no me agrada es que es muy comun encontrarte 2 o mas camiones uno detras de otro, peleando por subir gente",Neutro,0.9993051290512085,Neutral
"me gusta que va rápido, no me gusta que a veces no pasa cuando tiene que pasar",Neutro,0.9968982934951782,Neutral
Me gusto que hay mucho espacio y su mantenimiento constante y lo que no me gusta es que suele ser repetitivo en las rutas,Neutro,0.9984326958656311,Comodidad
Pues pasó a una hora aún temprano y no se detuvo así que hoy  y toda la semana que me ha hecho lo mismo pésimo. ,Negativo,0.9995037317276001,Tiempo
"Lo que no me gusta es que algunos conductores manejan muy feo, me refiero a muy rápido y hacen que uno rebote en los asientos, lo bueno es que algunos conductores ponen musica y eso lo hace mas ameno, ademas de que son buenos conductores que manejan con precaución eso es algo que se agradece.",Neutro,0.9980100989341736,Chofer
Bien,Positivo,0.9996585845947266,Neutral
Mala ,Negativo,0.9989247918128967,Neutral
Q no pasa tan seguido,Negativo,0.9988414645195007,Neutral
"Todo bien, bien servicio ",Positivo,0.9998965263366699,Neutral
Casi nunca funciona el lector de tarjetas ,Negativo,0.9995161294937134,Neutral
Me gusta que hay internet gratuito y que la ruta pasa muy seguido,Positivo,0.9990636706352234,Neutral
Buena,Positivo,0.9998786449432373,Neutral
Son muy tardo tomar el camión. No hay muchos camiones de esa ruta,Negativo,0.9980613589286804,Neutral
